Netherlands,NLD,CO2 emissions (kt),EN.ATM.CO2E.KT,149890
Norway,NOR,CO2 emissions (kt),EN.ATM.CO2E.KT,38280
Nepal,NPL,CO2 emissions (kt),EN.ATM.CO2E.KT,7130
Nauru,NRU,CO2 emissions (kt),EN.ATM.CO2E.KT,50
New Zealand,NZL,CO2 emissions (kt),EN.ATM.CO2E.KT,31790
OECD members,OED,CO2 emissions (kt),EN.ATM.CO2E.KT,12094430
Oman,OMN,CO2 emissions (kt),EN.ATM.CO2E.KT,64470
Other small states,OSS,CO2 emissions (kt),EN.ATM.CO2E.KT,187039.4758
Pakistan,PAK,CO2 emissions (kt),EN.ATM.CO2E.KT,153670
Panama,PAN,CO2 emissions (kt),EN.ATM.CO2E.KT,11280
Peru,PER,CO2 emissions (kt),EN.ATM.CO2E.KT,52810
Philippines,PHL,CO2 emissions (kt),EN.ATM.CO2E.KT,104410
Palau,PLW,CO2 emissions (kt),EN.ATM.CO2E.KT,220
Papua New Guinea,PNG,CO2 emissions (kt),EN.ATM.CO2E.KT,5870
Poland,POL,CO2 emissions (kt),EN.ATM.CO2E.KT,285740
Pre-demographic dividend,PRE,CO2 emissions (kt),EN.ATM.CO2E.KT,461688.9714
Puerto Rico,PRI,CO2 emissions (kt),EN.ATM.CO2E.KT,
"Korea, Dem. People's Rep.",PRK,CO2 emissions (kt),EN.ATM.CO2E.KT,31420
Portugal,PRT,CO2 emissions (kt),EN.ATM.CO2E.KT,45930
Paraguay,PRY,CO2 emissions (kt),EN.ATM.CO2E.KT,5630
West Bank and Gaza,PSE,CO2 emissions (kt),EN.ATM.CO2E.KT,
Pacific island small states,PSS,CO2 emissions (kt),EN.ATM.CO2E.KT,2760
Post-demographic dividend,PST,CO2 emissions (kt),EN.ATM.CO2E.KT,11206623.98
French Polynesia,PYF,CO2 emissions (kt),EN.ATM.CO2E.KT,
Qatar,QAT,CO2 emissions (kt),EN.ATM.CO2E.KT,80400
Romania,ROU,CO2 emissions (kt),EN.ATM.CO2E.KT,71410
Russian Federation,RUS,CO2 emissions (kt),EN.ATM.CO2E.KT,1606860
Rwanda,RWA,CO2 emissions (kt),EN.ATM.CO2E.KT,810
South Asia,SAS,CO2 emissions (kt),EN.ATM.CO2E.KT,2389180
Saudi Arabia,SAU,CO2 emissions (kt),EN.ATM.CO2E.KT,536810
Sudan,SDN,CO2 emissions (kt),EN.ATM.CO2E.KT,15330
Senegal,SEN,CO2 emissions (kt),EN.ATM.CO2E.KT,8570
Singapore,SGP,CO2 emissions (kt),EN.ATM.CO2E.KT,44460
Solomon Islands,SLB,CO2 emissions (kt),EN.ATM.CO2E.KT,340
Sierra Leone,SLE,CO2 emissions (kt),EN.ATM.CO2E.KT,1180
El Salvador,SLV,CO2 emissions (kt),EN.ATM.CO2E.KT,6590
San Marino,SMR,CO2 emissions (kt),EN.ATM.CO2E.KT,
Somalia,SOM,CO2 emissions (kt),EN.ATM.CO2E.KT,650
Serbia,SRB,CO2 emissions (kt),EN.ATM.CO2E.KT,38720
Sub-Saharan Africa (excluding high income),SSA,CO2 emissions (kt),EN.ATM.CO2E.KT,798329.0664
